, Run Time, Comparisons, Swaps 
,721187,99980001,25097842
,949360,99980001,25097842
,657802,99980001,25097842
,776354,99980001,25097842
,1503496,99980001,25097842
,1560573,99980001,25097842
,742078,99980001,25097842
,808548,99980001,25097842
,1543298,99980001,25097842
,1326930,99980001,25097842
Average,1058962,99980001,25097842
,1340174,99980001,25097842
,889327,99980001,25097842
,743528,99980001,25097842
,1168955,99980001,25097842
,1005660,99980001,25097842
,1091572,99980001,25097842
,795344,99980001,25097842
,899205,99980001,25097842
,1128716,99980001,25097842
,891634,99980001,25097842
Average,995411,99980001,25097842
